video_id,gloss
69302,drink
65539,drink
17710,drink
17733,drink
65540,drink
17734,drink
17711,drink
17712,drink
17713,drink
17709,drink
17720,drink
17721,drink
17722,drink
17723,drink
17724,drink
12328,computer
12312,computer
12311,computer
12338,computer
12313,computer
12314,computer
12315,computer
12316,computer
12317,computer
12318,computer
12319,computer
12320,computer
12326,computer
12327,computer
05728,before
05749,before
05750,before
05729,before
05730,before
65167,before
05731,before
05732,before
05733,before
05734,before
05727,before
05739,before
05740,before
05741,before
05742,before
05743,before
69345,go
24955,go
24956,go
24941,go
24960,go
24961,go
24962,go
65824,go
24973,go
24943,go
24946,go
24947,go
24940,go
24952,go
24954,go
69534,who
63242,who
63226,who
63227,who
63228,who
63229,who
63230,who
63231,who
66778,who
63232,who
66779,who
63225,who
63236,who
63237,who
08929,candy
08916,candy
08917,candy
08918,candy
08919,candy
08920,candy
08921,candy
65298,candy
08924,candy
65299,candy
65300,candy
08915,candy
08925,candy
65415,cousin
13647,cousin
13648,cousin
13631,cousin
13632,cousin
13633,cousin
13634,cousin
13635,cousin
13636,cousin
13630,cousin
13640,cousin
13641,cousin
13642,cousin
13646,cousin
14882,deaf
14903,deaf
14883,deaf
14884,deaf
14885,deaf
14886,deaf
65445,deaf
14887,deaf
14888,deaf
14893,deaf
14894,deaf
69364,help
27221,help
27206,help
27207,help
27208,help
27209,help
65890,help
27213,help
27214,help
65891,help
65889,help
27215,help
27216,help
27217,help
69411,no
38525,no
38544,no
38527,no
38529,no
38530,no
38532,no
38533,no
66183,no
38524,no
38534,no
57948,thin
57949,thin
57934,thin
57953,thin
57935,thin
57936,thin
57937,thin
66606,thin
57939,thin
57940,thin
57941,thin
57942,thin
66607,thin
57933,thin
57943,thin
57947,thin
62175,walk
62159,walk
62160,walk
62163,walk
62164,walk
66743,walk
66742,walk
62158,walk
62168,walk
62169,walk
62170,walk
64211,year
64224,year
64210,year
64212,year
66818,year
64213,year
66816,year
64209,year
64219,year
64218,year
69546,yes
64287,yes
64284,yes
64291,yes
64292,yes
64293,yes
66820,yes
64280,yes
64300,yes
64281,yes
64288,yes
64283,yes
69236,black
06472,black
06473,black
06474,black
06476,black
06477,black
06478,black
65200,black
06471,black
06486,black
69281,cool
65403,cool
13213,cool
13197,cool
13216,cool
13217,cool
13198,cool
13199,cool
13200,cool
13201,cool
65402,cool
13202,cool
13203,cool
13196,cool
13208,cool
13209,cool
69368,hot
28125,hot
28108,hot
28109,hot
28110,hot
28111,hot
28112,hot
28115,hot
28116,hot
28107,hot
69389,like
33266,like
33285,like
33267,like
33286,like
33268,like
33269,like
33270,like
33273,like
33274,like
69396,many
34823,many
34824,many
34825,many
34826,many
34827,many
34830,many
34831,many
34832,many
34839,many
69402,mother
36946,mother
36930,mother
36931,mother
36932,mother
36933,mother
36936,mother
36937,mother
66147,mother
66146,mother
36929,mother
69422,orange
40115,orange
40116,orange
40117,orange
40118,orange
40119,orange
40121,orange
66246,orange
40129,orange
40130,orange
57628,thanksgiving
57647,thanksgiving
57629,thanksgiving
57630,thanksgiving
57631,thanksgiving
57632,thanksgiving
57633,thanksgiving
57634,thanksgiving
57635,thanksgiving
57638,thanksgiving
57639,thanksgiving
57640,thanksgiving
57641,thanksgiving
69531,what
62967,what
62968,what
62970,what
66769,what
62987,what
62964,what
62988,what
62975,what
62965,what
62979,what
62966,what
63679,woman
63665,woman
63666,woman
63667,woman
63668,woman
63669,woman
63672,woman
63673,woman
66798,woman
66799,woman
63664,woman
05644,bed
05629,bed
05630,bed
05631,bed
05632,bed
05633,bed
05634,bed
05636,bed
65162,bed
05637,bed
65163,bed
65161,bed
05638,bed
07389,bowling
07390,bowling
07391,bowling
07392,bowling
07393,bowling
07394,bowling
07397,bowling
65242,bowling
65241,bowling
07388,bowling
07398,bowling
07399,bowling
07400,bowling
69298,dog
17097,dog
17084,dog
17085,dog
17086,dog
17087,dog
17090,dog
17091,dog
65506,dog
65507,dog
17083,dog
69316,family
20980,family
20981,family
20982,family
20983,family
20986,family
20987,family
65677,family
20978,family
20992,family
20979,family
69325,fish
22130,fish
22114,fish
22115,fish
22116,fish
22117,fish
22120,fish
22121,fish
65731,fish
22113,fish
25339,graduate
25322,graduate
25323,graduate
25324,graduate
25325,graduate
25326,graduate
65843,graduate
25329,graduate
25330,graduate
25321,graduate
32156,language
32157,language
32158,language
32160,language
32163,language
66008,language
66007,language
32154,language
32167,language
32155,language
32337,later
32338,later
32320,later
32321,later
32322,later
32323,later
32324,later
32325,later
66015,later
32326,later
66014,later
32333,later
69395,man
34746,man
34733,man
34734,man
34736,man
34737,man
34738,man
66098,man
66099,man
66097,man
34732,man
34742,man
51057,shirt
51081,shirt
51056,shirt
51058,shirt
51059,shirt
51060,shirt
51061,shirt
51063,shirt
51064,shirt
51066,shirt
51067,shirt
51068,shirt
55364,study
55365,study
55366,study
55368,study
55369,study
66575,study
55361,study
55375,study
55362,study
55363,study
56852,tall
56838,tall
56839,tall
56840,tall
56841,tall
56842,tall
56843,tall
56844,tall
66591,tall
56846,tall
66592,tall
56837,tall
56848,tall
69533,white
63204,white
63205,white
63207,white
63208,white
63200,white
63214,white
63201,white
63202,white
63203,white
00639,accident
00624,accident
00625,accident
00626,accident
00627,accident
00628,accident
00629,accident
00631,accident
00632,accident
65009,accident
00623,accident
00633,accident
00634,accident
69213,apple
03005,apple
03008,apple
65085,apple
65086,apple
65084,apple
02999,apple
03000,apple
03001,apple
03002,apple
03003,apple
69233,bird
06333,bird
06334,bird
06335,bird
06337,bird
65187,bird
06330,bird
06343,bird
06331,bird
06332,bird
09966,change
09967,change
09950,change
09970,change
09953,change
09954,change
09955,change
09956,change
09957,change
09949,change
09960,change
09963,change
69282,corn
13337,corn
13325,corn
13326,corn
13327,corn
13328,corn
13329,corn
65408,corn
65409,corn
13323,corn
13333,corn
13334,corn
69290,dark
14673,dark
14674,dark
14675,dark
14676,dark
14680,dark
65439,dark
65440,dark
14671,dark
14681,dark
14685,dark
14672,dark
17015,doctor
17016,doctor
17017,doctor
17019,doctor
17020,doctor
65503,doctor
65504,doctor
17013,doctor
17026,doctor
17014,doctor
69343,give
24660,give
24638,give
24639,give
24640,give
24641,give
24636,give
24648,give
24649,give
24651,give
66010,last
32263,last
32248,last
32249,last
32250,last
32253,last
32254,last
32255,last
32246,last
32257,last
32260,last
32261,last
69431,pizza
42977,pizza
42958,pizza
42959,pizza
42960,pizza
42961,pizza
66297,pizza
42962,pizza
42956,pizza
42966,pizza
42967,pizza
42969,pizza
69433,play
43166,play
43170,play
43171,play
43173,play
43174,play
43179,play
43180,play
43167,play
43168,play
43169,play
50037,secretary
50038,secretary
50039,secretary
50040,secretary
50041,secretary
50044,secretary
50045,secretary
66441,secretary
50046,secretary
50052,secretary
51221,short
51223,short
51224,short
51225,short
51226,short
51227,short
66469,short
51220,short
51231,short
51232,short
51233,short
51235,short
51236,short
63806,work
63789,work
63790,work
63791,work
63792,work
63793,work
63795,work
66804,work
63788,work
63799,work
69225,basketball
05230,basketball
05231,basketball
05232,basketball
05233,basketball
05234,basketball
05238,basketball
65144,basketball
65145,basketball
05229,basketball
05239,basketball
05243,basketball
10147,cheat
10166,cheat
10148,cheat
10149,cheat
65341,cheat
10151,cheat
65342,cheat
10157,cheat
10158,cheat
10159,cheat
65792,full
23782,full
23771,full
23774,full
23775,full
23766,full
23776,full
23767,full
23768,full
23769,full
66038,letter
32948,letter
32949,letter
32950,letter
32953,letter
32954,letter
32945,letter
32955,letter
32959,letter
32946,letter
32947,letter
53273,son
53274,son
53275,son
66531,son
66532,son
53268,son
53279,son
53269,son
53270,son
53271,son
57278,tell
57282,tell
57283,tell
57284,tell
57285,tell
57276,tell
57286,tell
57287,tell
57291,tell
57277,tell
58362,thursday
58363,thursday
58365,thursday
58366,thursday
66637,thursday
66638,thursday
66639,thursday
66640,thursday
58370,thursday
58360,thursday
58361,thursday
62113,wait
62098,wait
62100,wait
62101,wait
62102,wait
62103,wait
62106,wait
66740,wait
62097,wait
62107,wait
65137,bar
05103,bar
05086,bar
05087,bar
05088,bar
05089,bar
05090,bar
05095,bar
05097,bar
05098,bar
05102,bar
69251,brother
07937,brother
07938,brother
07940,brother
65262,brother
07932,brother
07943,brother
07933,brother
07934,brother
07935,brother
07936,brother
65343,check
10184,check
10185,check
10186,check
10187,check
10188,check
10190,check
10192,check
10183,check
10197,check
10199,check
14190,cry
14175,cry
14176,cry
14177,cry
14180,cry
14182,cry
14183,cry
65427,cry
14174,cry
14188,cry
32398,laugh
32379,laugh
32380,laugh
32381,laugh
66016,laugh
32382,laugh
32383,laugh
32386,laugh
32377,laugh
32388,laugh
32389,laugh
48509,room
48510,room
48511,room
48512,room
48513,room
48514,room
48516,room
66415,room
66416,room
48517,room
48521,room
69481,snow
52862,snow
52863,snow
66519,snow
66518,snow
52857,snow
52867,snow
52858,snow
52859,snow
52860,snow
69500,take
56698,take
56699,take
56700,take
56701,take
56692,take
56702,take
56704,take
56705,take
56693,take
56694,take
63283,why
63284,why
63285,why
63287,why
63288,why
66781,why
63289,why
63292,why
63280,why
63281,why
63282,why
69544,write
64060,write
64061,write
64065,write
66815,write
64056,write
64068,write
64057,write
64058,write
64059,write
64307,yesterday
64308,yesterday
64309,yesterday
64311,yesterday
66821,yesterday
66822,yesterday
64315,yesterday
64304,yesterday
64305,yesterday
64306,yesterday
65290,call
08706,call
08707,call
65556,call
08713,call
08689,call
08690,call
08691,call
08692,call
08694,call
08701,call
08702,call
65377,cold
11638,cold
11622,cold
11623,cold
11624,cold
11625,cold
11627,cold
11628,cold
11621,cold
11633,cold
11634,cold
11635,cold
20067,example
20068,example
20070,example
20071,example
20072,example
65652,example
65653,example
65654,example
20074,example
20077,example
20066,example
21073,far
21074,far
21075,far
21077,far
21078,far
65682,far
21069,far
21081,far
21070,far
21071,far
21072,far
69347,good
25072,good
25073,good
65835,good
25066,good
25076,good
25067,good
25068,good
25069,good
25070,good
32655,leave
32677,leave
66025,leave
32657,leave
32658,leave
32659,leave
32661,leave
32662,leave
32654,leave
32667,leave
32669,leave
53295,soon
53296,soon
53300,soon
53301,soon
66533,soon
66534,soon
53292,soon
53304,soon
53305,soon
53293,soon
53294,soon
59206,trade
59207,trade
59208,trade
59209,trade
59210,trade
59211,trade
59212,trade
59214,trade
59215,trade
59216,trade
59219,trade
59204,trade
59205,trade
04801,balance
04802,balance
04803,balance
65129,balance
04795,balance
04806,balance
04796,balance
04797,balance
04798,balance
04799,balance
05598,because
05599,because
05600,because
05601,because
65158,because
65159,because
05605,because
05606,because
05609,because
05596,because
13135,convince
13136,convince
13137,convince
13138,convince
65400,convince
65401,convince
13143,convince
13144,convince
13148,convince
13134,convince
65692,fat
21252,fat
21233,fat
21234,fat
21236,fat
21231,fat
21237,fat
21241,fat
21242,fat
21243,fat
25244,government
25245,government
25246,government
25247,government
65840,government
25250,government
25253,government
25241,government
25242,government
25243,government
65950,interest
30153,interest
30154,interest
30155,interest
30156,interest
30160,interest
30152,interest
30162,interest
30166,interest
30168,interest
66248,order
40183,order
40184,order
40171,order
40172,order
40177,order
40178,order
66249,order
40169,order
40179,order
49250,sandwich
49251,sandwich
49252,sandwich
66423,sandwich
66424,sandwich
49255,sandwich
